MarketNo,MarketName,MarketType,YearMonth,ClosedDate
F630,斗南,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F708,台南,魚,11209,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、10、17、1、8、15、29、5、12、19、4、31
F200,基隆,魚,11209,1、2、7、8、15、21、22、23、24、25、26、27、28、29、4、5、11、12、19、18、3、9、16、30、6、13、14、20、10
F261,頭城,魚,11209,8、15、20、21、22、23、24、25、26、29、5、12、19、2、9、16、30、7、14、28、31、4、11、18、1、27
F513,埔心,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F722,佳里,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F800,高雄,魚,11209,2、9、16、22、23、24、25、26、30、6、13、20、27、5、10、17、1、8、15、29、12、19、3、31
F820,岡山,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F109,台北,魚,11209,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F241,三重,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、13、20、3、5、10、17、1、8、15、29、12、19、31
F600,嘉義,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、19、3、10、17、1、15、29、5、12、31
F730,新營,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F826,梓官,魚,11209,21、22、23、24、25
F880,澎湖,魚,11209,22、23、24、27、28
F241,三重,魚,11208,2、9、16、22、23、24、25、26、27、30、6、7、13、20、3、5、10、17、1、8、15、29、12、19、31
F600,嘉義,魚,11208,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、19、3、10、17、1、15、29、5、12、31
F708,台南,魚,11208,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、10、17、1、8、15、29、5、12、19、4、31
F109,台北,魚,11208,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
